org_id,org_name,org_code,org_status,org_date,properties
11,Company A,BIW,renewed,05-05-2023 04:23,"{""email"": ""biw@gmail.com"",""company"":""Company A"",""location"":""Maharastra""}"
22,Company B,BIX,renewed,12-05-2023 06:28,"{""email"": ""bix@gmail.com"",""location"":""Punjab"",""company"":""Company B""}"
33,Company C,BMR,not renewed,15-06-2023 06:53,"{""email"": ""bon@gmail.com"",""company"":""Company C"",""location"":""Maharastra""}"
44,Company D,BMW,not renewed,15-06-2023 18:19,"{""email"": ""bou@gmail.com"",""company"":""Company D"",""location"":""Gujarat""}"
55,Company E,BIZ,renewed,15-05-2023 09:55,"{""email"": ""biz@gmail.com"",""location"":""Gujarat"",""company"":""Company E""}"
66,Company F,BNB,not renewed,19-06-2023 09:29,"{""email"": ""bov@gmail.com"",""company"":""Company F"",""location"":""Gujarat""}"
77,Company G,BJA,renewed,12-05-2023 08:32,"{""email"": ""bja@gmail.com"",""company"":""Company G"",""location"":""Punjab""}"
88,Company H,BJI,renewed,16-05-2023 10:26,"{""email"": ""bji@gmail.com"",""company"":""Company H"",""location"":""Gujarat""}"
99,Company I,BNK,not renewed,19-06-2023 17:57,"{""email"": ""bow@gmail.com"",""company"":""Company I"",""location"":""Punjab""}"
111,Company J,BNQ,not renewed,22-06-2023 11:02,"{""email"": ""bpc@gmail.com"",""company"":""Company J"",""location"":""Maharastra""}"
222,Company K,BNY,not renewed,23-06-2023 07:53,"{""email"": ""bpi@gmail.com"",""company"":""Company K"",""location"":""Maharastra""}"
333,Company L,BNZ,not renewed,23-06-2023 07:56,"{""email"": ""bpj@gmail.com"",""company"":""Company L"",""location"":""Maharastra""}"
444,Company M,BJJ,renewed,16-05-2023 12:50,"{""email"": ""bjj@gmail.com"",""company"":""Company M"",""location"":""Maharastra""}"
555,Company N,BOA,not renewed,23-06-2023 11:51,"{""email"": ""bpl@gmail.com"",""company"":""Company N"",""location"":""Punjab""}"
666,Company O,BOD,not renewed,24-06-2023 05:33,"{""email"": ""bpm@gmail.com"",""company"":""Company O"",""location"":""Maharastra""}"
777,Company P,BJM,renewed,17-05-2023 06:37,"{""email"": ""bjm@gmail.com"",""company"":""Company P"",""location"":""Gujarat""}"
888,Company Q,BJP,renewed,19-05-2023 04:41,"{""email"": ""bjp@gmail.com"",""company"":""Company Q"",""location"":""Gujarat""}"
999,Company R,BJR,renewed,19-05-2023 07:39,"{""email"": ""bjr@gmail.com"",""company"":""Company R"",""location"":""Gujarat""}"
1111,Company S,BJT,renewed,11-05-2023 06:04,"{""email"": ""bjt@gmail.com"",""company"":""Company S"",""location"":""Gujarat""}"
2222,Company T,BOK,not renewed,26-06-2023 10:36,"{""email"": ""bpo@gmail.com"",""company"":""Company T"",""location"":""Punjab""}"
